LineId,Month,Day,Time,Level,Content,EventId,EventTemplate,ParameterList
31,[Thu,Jun,09,06:07:20,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
32,[Thu,Jun,09,06:07:20,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
33,[Thu,Jun,09,06:07:20,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
34,[Thu,Jun,09,06:07:20,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
35,[Thu,Jun,09,06:07:20,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
36,[Thu,Jun,09,07:11:21,2005] [error] [client 204.100.200.22] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
37,[Thu,Jun,09,12:08:57,2005] [error] [client 207.203.80.15] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
38,[Thu,Jun,09,12:17:49,2005] [error] [client 216.68.171.39] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
39,[Thu,Jun,09,12:48:10,2005] [error] [client 24.158.204.7] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
40,[Thu,Jun,09,13:59:36,2005] [error] [client 216.85.154.124] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
41,[Thu,Jun,09,14:22:15,2005] [error] [client 219.136.165.149] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
42,[Thu,Jun,09,14:40:51,2005] [error] [client 218.114.142.11] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
43,[Thu,Jun,09,15:06:08,2005] [error] [client 211.74.182.199] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
44,[Thu,Jun,09,16:31:58,2005] [error] [client 218.61.75.217] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
45,[Thu,Jun,09,17:04:03,2005] [error] [client 12.32.56.253] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
46,[Thu,Jun,09,18:55:10,2005] [error] [client 24.159.188.244] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
47,[Thu,Jun,09,18:56:23,2005] [error] [client 222.76.16.61] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
48,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
49,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
50,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
51,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
52,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
53,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
54,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
55,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
56,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
57,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
58,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
59,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
60,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
61,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
62,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
63,[Thu,Jun,09,19:23:31,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
64,[Thu,Jun,09,19:23:32,2005] [notice] jk2_init() Found child 4056 in scoreboard slot 8,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '4056', 'slot 8']"
65,[Thu,Jun,09,19:23:32,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
66,[Thu,Jun,09,19:23:32,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
67,[Thu,Jun,09,19:23:32,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
68,[Thu,Jun,09,19:23:32,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
69,[Thu,Jun,09,19:23:32,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
70,[Thu,Jun,09,19:23:32,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
71,[Thu,Jun,09,19:23:32,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
72,[Thu,Jun,09,19:23:32,2005] [error] [client 81.199.21.119] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
73,[Thu,Jun,09,19:23:32,2005] [error] jk2_init() Can't find child 4057 in scoreboard,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,[]
74,[Thu,Jun,09,19:23:32,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
75,[Thu,Jun,09,19:23:32,2005] [error] mod_jk child init 1 -2,7987e30d,2005] [error] mod_jk child <*> 1 <*>,"['init', '-2']"
76,[Thu,Jun,09,19:23:32,2005] [error] jk2_init() Can't find child 4058 in scoreboard,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,[]
77,[Thu,Jun,09,19:23:32,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
78,[Thu,Jun,09,19:23:32,2005] [error] mod_jk child init 1 -2,7987e30d,2005] [error] mod_jk child <*> 1 <*>,"['init', '-2']"
79,[Thu,Jun,09,19:52:05,2005] [error] [client 219.150.171.68] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
80,[Thu,Jun,09,20:05:25,2005] [error] [client 60.180.218.105] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
81,[Thu,Jun,09,20:30:02,2005] [error] [client 12.223.73.171] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
82,[Thu,Jun,09,23:48:54,2005] [error] [client 143.127.131.4] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
83,[Fri,Jun,10,00:36:44,2005] [error] [client 65.106.172.142] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
84,[Fri,Jun,10,00:57:00,2005] [error] [client 222.166.160.169] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
85,[Fri,Jun,10,02:42:34,2005] [error] [client 221.211.123.40] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
86,[Fri,Jun,10,02:45:13,2005] [error] [client 218.16.110.143] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
87,[Fri,Jun,10,03:04:53,2005] [error] [client 61.187.179.247] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
88,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
89,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
90,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
91,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
92,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
93,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
94,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
95,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
96,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
97,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
98,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
99,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
100,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
101,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
102,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
103,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
104,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
105,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
106,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
107,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
108,[Fri,Jun,10,03:37:39,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
109,[Fri,Jun,10,03:37:42,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
110,[Fri,Jun,10,03:37:42,2005] [error] [client 194.116.250.2] File does not exist: /var/www/html/sumthin,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
111,[Fri,Jun,10,03:40:25,2005] [error] [client 211.97.68.142] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
112,[Fri,Jun,10,04:18:49,2005] [error] [client 61.4.64.180] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
113,[Fri,Jun,10,10:45:05,2005] [error] [client 219.154.34.244] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
114,[Fri,Jun,10,11:01:52,2005] [error] [client 66.201.171.199] File does not exist: /var/www/html/scripts/..%5c%5c..,e08e7447,2005] [error] [client <*> File does not exist <*>,[]
115,[Fri,Jun,10,11:32:25,2005] [notice] LDAP: Built with OpenLDAP LDAP SDK,170ea17d,2005] [notice] LDAP Built with OpenLDAP LDAP SDK,[]
116,[Fri,Jun,10,11:32:26,2005] [notice] LDAP: SSL support unavailable,fd21ee58,2005] [notice] <*>,['LDAP: SSL support unavailable']
117,[Fri,Jun,10,11:32:26,2005] [notice] suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),082bc0ad,2005] [notice] suEXEC mechanism enabled (wrapper /usr/sbin/suexec),[]
118,[Fri,Jun,10,11:32:26,2005] [notice] Digest: generating secret for digest authentication ...,77d280be,2005] [notice] Digest generating secret for digest authentication ...,[]
119,[Fri,Jun,10,11:32:26,2005] [notice] Digest: done,fd21ee58,2005] [notice] <*>,['Digest: done']
120,[Fri,Jun,10,11:32:26,2005] [notice] LDAP: Built with OpenLDAP LDAP SDK,170ea17d,2005] [notice] LDAP Built with OpenLDAP LDAP SDK,[]
121,[Fri,Jun,10,11:32:26,2005] [notice] LDAP: SSL support unavailable,fd21ee58,2005] [notice] <*>,['LDAP: SSL support unavailable']
122,[Fri,Jun,10,11:32:27,"2005] [error] env.createBean2(): Factory error creating channel.jni:jni ( channel.jni, jni)",23db3fc1,2005] [error] <*> <*> <*> <*> channel.jni jni <*>,[]
123,[Fri,Jun,10,11:32:27,2005] [error] config.update(): Can't create channel.jni:jni,23db3fc1,2005] [error] <*> <*> <*> <*> channel.jni jni <*>,[]
124,[Fri,Jun,10,11:32:27,"2005] [error] env.createBean2(): Factory error creating vm: ( vm, )",da66c499,2005] [error] <*> <*> <*> <*> vm <*>,[]
125,[Fri,Jun,10,11:32:27,2005] [error] config.update(): Can't create vm:,da66c499,2005] [error] <*> <*> <*> <*> vm <*>,[]
126,[Fri,Jun,10,11:32:27,"2005] [error] env.createBean2(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)",bc427d59,2005] [error] <*> <*> <*> <*> worker.jni onStartup <*>,[]
127,[Fri,Jun,10,11:32:27,2005] [error] config.update(): Can't create worker.jni:onStartup,bc427d59,2005] [error] <*> <*> <*> <*> worker.jni onStartup <*>,[]
128,[Fri,Jun,10,11:32:27,"2005] [error] env.createBean2(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)",8b6d650f,2005] [error] <*> <*> <*> <*> worker.jni onShutdown <*>,[]
129,[Fri,Jun,10,11:32:27,2005] [error] config.update(): Can't create worker.jni:onShutdown,8b6d650f,2005] [error] <*> <*> <*> <*> worker.jni onShutdown <*>,[]
130,[Fri,Jun,10,11:32:35,2005] [notice] mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads.,0f03f38a,2005] [notice] mod_python Creating 32 session mutexes based on 150 max processes and 0 max threads.,[]
131,[Fri,Jun,10,11:32:39,2005] [notice] mod_security/1.9dev2 configured,fd21ee58,2005] [notice] <*>,['mod_security/1.9dev2 configured']
132,[Fri,Jun,10,11:32:39,2005] [notice] Apache/2.0.49 (Fedora) configured -- resuming normal operations,6608fc12,2005] [notice] Apache/2.0.49 (Fedora) configured -- resuming normal operations,[]
133,[Fri,Jun,10,11:32:39,2005] [notice] jk2_init() Found child 2337 in scoreboard slot 1,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2337', 'slot 1']"
134,[Fri,Jun,10,11:32:39,2005] [notice] jk2_init() Found child 2338 in scoreboard slot 2,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2338', 'slot 2']"
135,[Fri,Jun,10,11:32:39,2005] [notice] jk2_init() Found child 2339 in scoreboard slot 3,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2339', 'slot 3']"
136,[Fri,Jun,10,11:32:39,2005] [notice] jk2_init() Found child 2342 in scoreboard slot 6,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2342', 'slot 6']"
137,[Fri,Jun,10,11:32:39,2005] [notice] jk2_init() Found child 2343 in scoreboard slot 7,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2343', 'slot 7']"
138,[Fri,Jun,10,11:32:39,2005] [notice] jk2_init() Found child 2340 in scoreboard slot 4,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2340', 'slot 4']"
139,[Fri,Jun,10,11:32:39,2005] [notice] jk2_init() Found child 2341 in scoreboard slot 5,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2341', 'slot 5']"
140,[Fri,Jun,10,11:32:39,2005] [notice] jk2_init() Found child 2336 in scoreboard slot 0,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2336', 'slot 0']"
141,[Fri,Jun,10,11:32:39,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
142,[Fri,Jun,10,11:32:39,2005] [error] mod_jk child init 1 0,7987e30d,2005] [error] mod_jk child <*> 1 <*>,"['init', '0']"
143,[Fri,Jun,10,11:32:39,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
144,[Fri,Jun,10,11:32:39,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
145,[Fri,Jun,10,11:32:39,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
146,[Fri,Jun,10,11:32:39,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
147,[Fri,Jun,10,11:32:39,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
148,[Fri,Jun,10,11:32:39,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
149,[Fri,Jun,10,11:32:39,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
150,[Fri,Jun,10,11:59:44,2005] [error] [client 61.4.64.179] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
151,[Fri,Jun,10,14:21:15,2005] [error] [client 61.10.7.8] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
152,[Fri,Jun,10,14:35:01,2005] [error] [client 24.2.25.240] Directory index forbidden by rule: /var/www/html/,6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,[]
