Dataset,Rank,Count,Percentage,Template
HealthApp,1,1242,0.5,20171230-22 : <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> | Step_LSC | <*HEX*> | onExtend : <*HEX*> <*PROCESS_ID*> <*PROCESS_ID*> <*PROCESS_ID*>
HealthApp,2,1239,0.5,20171230-22 : <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> | Step_LSC | <*HEX*> | onStandStepChanged <*PROCESS_ID*>
HealthApp,3,1215,0.5,20171230-22 : <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> | Step_ExtSDM | <*HEX*> | calculateCaloriesWithCache totalCalories = <*TIMESTAMP*>
HealthApp,4,1215,0.5,20171230-22 : <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> | Step_ExtSDM | <*HEX*> | calculateAltitudeWithCache totalAltitude = <*PROCESS_ID*>
HealthApp,5,1192,0.5,20171230-22 : <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> | Step_StandReportReceiver | <*HEX*> | REPORT : <*PROCESS_ID*> <*PROCESS_ID*> <*TIMESTAMP*> <*PROCESS_ID*>
Linux,1,5556,21.7,Nov <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> combo kernel : Out of Memory : Killed process <*PROCESS_ID*> ( httpd ) .
Linux,2,3347,13.1,Dec <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> combo kernel : Out of Memory : Killed process <*PROCESS_ID*> ( httpd ) .
Linux,3,908,3.6,Nov <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> combo kernel : Out of Memory : Killed process <*PROCESS_ID*> ( python ) .
Linux,4,289,1.1,Jan <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> combo sshd ( pam_unix ) [ <*PROCESS_ID*> ] : authentication failure; logname = uid = <*PROCESS_ID*> euid = <*PROCESS_ID*> tty = NODEVssh ruser = rhost = <*IP_ADDRESS*> user = root
Linux,5,255,1.0,Feb <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> combo sshd ( pam_unix ) [ <*PROCESS_ID*> ] : authentication failure; logname = uid = <*PROCESS_ID*> euid = <*PROCESS_ID*> tty = NODEVssh ruser = rhost = <*IP_ADDRESS*> user = root
Mac,1,3486,3.0,Jul <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> --- last message repeated <*PROCESS_ID*> time ---
Mac,2,1004,0.9,Jul <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> authorMacBook-Pro corecaptured [ <*PROCESS_ID*> ] : CCFile : : captureLogRun ( ) Exiting CCFile : : captureLogRun
Mac,3,891,0.8,Jul <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> --- last message repeated <*PROCESS_ID*> times ---
Mac,4,808,0.7,Jul <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> authorMacBook-Pro QQ [ <*PROCESS_ID*> ] : tcp_connection_handle_connect_conditions_bad <*PROCESS_ID*> failed : <*PROCESS_ID*> - No network route
Mac,5,766,0.7,Jul <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> authorMacBook-Pro corecaptured [ <*PROCESS_ID*> ] : CCFile : : captureLog
OpenSSH,1,73172,11.5,Dec <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> LabSZ sshd [ <*PROCESS_ID*> ] : Failed password for root from <*IP_ADDRESS*> port <*PROCESS_ID*> ssh2
OpenSSH,2,73029,11.4,Dec <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> LabSZ sshd [ <*PROCESS_ID*> ] : pam_unix ( sshd : auth ) : authentication failure; logname = uid = <*PROCESS_ID*> euid = <*PROCESS_ID*> tty = ssh ruser = rhost = <*IP_ADDRESS*> user = root
OpenSSH,3,66646,10.4,Jan <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> LabSZ sshd [ <*PROCESS_ID*> ] : Failed password for root from <*IP_ADDRESS*> port <*PROCESS_ID*> ssh2
OpenSSH,4,66543,10.4,Jan <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> LabSZ sshd [ <*PROCESS_ID*> ] : pam_unix ( sshd : auth ) : authentication failure; logname = uid = <*PROCESS_ID*> euid = <*PROCESS_ID*> tty = ssh ruser = rhost = <*IP_ADDRESS*> user = root
OpenSSH,5,41278,6.5,Dec <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> LabSZ sshd [ <*PROCESS_ID*> ] : Connection closed by <*IP_ADDRESS*> [ preauth ]
Openstack,1,4051,2.1,nova-compute.log.2017-05-17_12 : <*PROCESS_ID*> : <*PROCESS_ID*> 2017-05-17 <*PROCESS_ID*> : <*PROCESS_ID*> : <*NUMBER*> <*PROCESS_ID*> INFO nova.virt.libvirt.imagecache [ req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - - ] image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at ( <*PATH*> ) : checking
Openstack,2,4051,2.1,"nova-compute.log.2017-05-17_12 : <*PROCESS_ID*> : <*PROCESS_ID*> 2017-05-17 <*PROCESS_ID*> : <*PROCESS_ID*> : <*NUMBER*> <*PROCESS_ID*> INFO nova.virt.libvirt.imagecache [ req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - - ] image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at ( <*PATH*> ) : in use : on this node <*PROCESS_ID*> local , <*PROCESS_ID*> on other nodes sharing this instance storage"
Openstack,3,4051,2.1,nova-compute.log.2017-05-17_12 : <*PROCESS_ID*> : <*PROCESS_ID*> 2017-05-17 <*PROCESS_ID*> : <*PROCESS_ID*> : <*NUMBER*> <*PROCESS_ID*> INFO nova.virt.libvirt.imagecache [ req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - - ] Active base files : <*PATH*>
Openstack,4,3335,1.8,"nova-api.log.1.2017-05-17_12 : <*PROCESS_ID*> : <*PROCESS_ID*> 2017-05-16 <*PROCESS_ID*> : <*PROCESS_ID*> : <*NUMBER*> <*PROCESS_ID*> INFO nova.metadata.wsgi.server [ - ] <*IP_ADDRESS*> , <*IP_ADDRESS*> ""GET <*PATH*> HTTP/1.1"" status : <*PROCESS_ID*> len : <*PROCESS_ID*> time : <*NUMBER*>"
Openstack,5,2920,1.5,nova-compute.log.1.2017-05-17_12 : <*PROCESS_ID*> : <*PROCESS_ID*> 2017-05-16 <*PROCESS_ID*> : <*PROCESS_ID*> : <*NUMBER*> <*PROCESS_ID*> INFO nova.virt.libvirt.imagecache [ req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - - ] image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at ( <*PATH*> ) : checking
Proxifier,1,4206,19.7,[ <*NUMBER*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> ] chrome.exe - proxy.cse.cuhk.edu.hk : <*PROCESS_ID*> open through proxy proxy.cse.cuhk.edu.hk : <*PROCESS_ID*> HTTPS
Proxifier,2,1048,4.9,"[ <*NUMBER*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> ] chrome.exe - proxy.cse.cuhk.edu.hk : <*PROCESS_ID*> close , <*PROCESS_ID*> bytes sent , <*PROCESS_ID*> bytes received , lifetime <*PROCESS_ID*> : <*PROCESS_ID*>"
Proxifier,3,955,4.5,"[ <*NUMBER*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> ] chrome.exe - proxy.cse.cuhk.edu.hk : <*PROCESS_ID*> close , <*PROCESS_ID*> bytes ( <*NUMBER*> KB ) sent , <*PROCESS_ID*> bytes ( <*NUMBER*> KB ) received , lifetime <*PROCESS_ID*> : <*PROCESS_ID*>"
Proxifier,4,551,2.6,"[ <*NUMBER*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> ] chrome.exe - proxy.cse.cuhk.edu.hk : <*PROCESS_ID*> close , <*PROCESS_ID*> bytes sent , <*PROCESS_ID*> bytes received , lifetime <1 sec"
Proxifier,5,442,2.1,"[ <*NUMBER*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> ] chrome.exe - proxy.cse.cuhk.edu.hk : <*PROCESS_ID*> close , <*PROCESS_ID*> bytes ( <*NUMBER*> KB ) sent , <*PROCESS_ID*> bytes received , lifetime <*PROCESS_ID*> : <*PROCESS_ID*>"
Zookeeper,1,10364,14.0,"2015-07-29 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> - INFO [ <*PATH*> : <*PROCESS_ID*> : QuorumCnxManager$Listener@493 ] - Received connection request <*PATH*> : <*PROCESS_ID*>"
Zookeeper,2,10358,13.9,"2015-07-29 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> - WARN [ RecvWorker : <*HEX*> : QuorumCnxManager$RecvWorker@765 ] - Interrupting SendWorker"
Zookeeper,3,10358,13.9,"2015-07-29 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> - WARN [ SendWorker : <*HEX*> : QuorumCnxManager$SendWorker@679 ] - Interrupted while waiting for message on queue"
Zookeeper,4,10358,13.9,"2015-07-29 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> - WARN [ SendWorker : <*HEX*> : QuorumCnxManager$SendWorker@688 ] - Send worker leaving thread"
Zookeeper,5,10356,13.9,"2015-07-29 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> - WARN [ RecvWorker : <*HEX*> : QuorumCnxManager$RecvWorker@762 ] - Connection broken for id <*HEX*> , my id = <*PROCESS_ID*> , error ="
